"survived","pclass","sex","age","ticket","fare","embarked","family"
0,3,"male",27,370374,7.75,Q,1
1,1,"female",60,11813,76.2917,C,1
1,3,"female",36,37671,15.9,S,3
0,1,"male",24,13695,60,S,2
0,2,"male",27,2168,15.0333,C,1
1,2,"female",20,29105,23,S,4
1,1,"female",28,19950,263,S,6
0,2,"male",27,2861,15.5792,C,1
0,3,"male",10,382652,29.125,Q,6
0,3,"male",35,349230,7.8958,S,1
0,3,"male",25,348122,7.65,S,1
0,3,"male",27,386525,16.1,S,2
1,1,"female",36,17608,262.375,C,1
0,3,"male",17,349232,7.8958,S,1
0,2,"male",32,237216,13.5,S,1
0,3,"male",18,347090,7.75,S,1
1,3,"female",22,334914,7.725,Q,1
0,1,"male",13,17608,262.375,C,5
1,2,"female",27,13534,21,S,1
1,3,"female",18,330963,7.8792,Q,1
0,1,"male",47,113796,42.4,S,1
0,1,"male",31,2543,28.5375,C,1
1,1,"female",60,19950,263,S,6
1,3,"female",24,382653,7.75,Q,1
0,3,"male",21,349211,7.8958,S,1
1,3,"female",29,3101297,7.925,S,1
0,1,"male",28.5,17562,27.7208,C,1
1,1,"female",35,113503,211.5,C,1
0,1,"male",32.5,113503,211.5,C,1
0,3,"male",27,359306,8.05,S,1
1,1,"female",55,11770,25.7,S,3
0,2,"male",30,248744,13,S,1
1,3,"female",24,368702,7.75,Q,1
1,3,"male",6,2678,15.2458,C,3
0,1,"male",67,17483,221.7792,S,2
0,1,"male",49,19924,26,S,1
0,3,"male",27,349238,7.8958,S,1
0,2,"male",27,240261,10.7083,Q,1
0,3,"male",27,2660,14.4542,C,2
1,3,"female",27,330844,7.8792,Q,1
1,3,"female",18,31416,8.05,S,1
1,3,"female",27,364856,7.75,Q,1
1,2,"male",2,29103,23,S,3
1,3,"female",22,347072,13.9,S,2
0,3,"male",27,345498,7.775,S,1
1,1,"female",27,12750,52,S,4
0,3,"male",27,376563,8.05,S,1
0,1,"male",25,13905,26,C,1
0,3,"male",25,350033,7.7958,S,1
1,1,"female",76,19877,78.85,S,2
0,3,"male",29,3101268,7.925,S,1
1,3,"female",20,347471,7.8542,S,1
0,3,"male",33,3338,8.05,S,1
1,1,"female",43,11778,55.4417,C,2
0,2,"male",27,228414,26,S,2
0,3,"male",27,365235,7.75,Q,1
0,3,"male",26,347070,7.775,S,1
1,3,"female",16,2625,8.5167,C,3
0,3,"male",28,4001,22.525,S,1
0,3,"male",21,330920,7.8208,Q,1
0,3,"male",27,383162,7.75,Q,1
0,3,"male",27,3410,8.7125,S,1
0,2,"male",18.5,248734,13,S,1
0,2,"male",41,237734,15.0458,C,1
1,3,"female",27,330968,7.7792,Q,1
1,1,"female",36,17531,31.6792,C,1
1,3,"female",18.5,329944,7.2833,Q,1
1,1,"female",63,17483,221.7792,S,2
0,3,"male",18,2680,14.4542,C,2
0,3,"male",27,2681,6.4375,C,1
1,3,"female",1,9549,16.7,S,3
0,1,"male",36,13050,75.2417,C,1
1,2,"female",29,29037,26,S,2
1,2,"female",12,33595,15.75,S,1
0,3,"male",27,367227,7.75,Q,2
1,1,"female",35,13236,57.75,C,2
0,3,"male",28,392095,7.25,S,1
0,3,"male",27,368783,7.75,Q,1
1,3,"female",17,371362,16.1,S,2
0,3,"male",22,350045,7.7958,S,1
1,3,"female",27,367226,23.25,Q,3
0,2,"male",42,211535,13,S,1
0,3,"male",24,342441,8.05,S,1
0,3,"male",32,369943,8.05,S,1
0,1,"male",53,113780,28.5,C,1
0,3,"female",27,4133,25.4667,S,5
0,3,"male",27,2621,6.4375,C,2
0,3,"male",43,349226,7.8958,S,1
0,3,"male",24,350409,7.8542,S,1
0,3,"male",26.5,2656,7.225,C,1
0,2,"male",26,248659,13,S,1
1,3,"female",23,392083,8.05,S,1
0,3,"male",40,2144,46.9,S,8
0,3,"female",10,2144,46.9,S,8
1,1,"female",33,113781,151.55,S,1
0,1,"male",61,17608,262.375,C,5
0,2,"male",28,244358,26,S,1
0,1,"male",42,17475,26.55,S,1
0,3,"male",31,345763,18,S,4
0,1,"male",27,17463,51.8625,S,1
0,3,"male",22,23568,8.05,S,1
0,1,"male",27,113791,26.55,S,1
0,2,"male",30,250651,26,S,3
1,1,"female",23,11767,83.1583,C,2
0,3,"male",27,349255,7.8958,C,1
0,3,"male",60.5,3701,14.4542,S,1
1,3,"female",36,350405,12.1833,S,3
0,3,"male",13,347077,31.3875,S,7
0,3,"male",24,752,7.55,S,1
1,1,"female",29,17483,221.7792,S,1
1,3,"female",23,347469,7.8542,S,1
0,1,"male",42,110489,26.55,S,1
1,3,"female",26,3101315,13.775,S,3
1,3,"female",27,335432,7.7333,Q,1
1,3,"male",7,2650,15.2458,C,3
1,2,"female",26,220844,13.5,S,1
0,3,"male",27,343271,7,S,1
0,2,"male",41,237393,13,S,1
1,3,"female",26,315153,22.025,S,3
0,1,"male",48,17591,50.4958,C,1
0,3,"male",18,6608,34.375,S,5
1,1,"female",27,17770,27.7208,C,1
1,3,"female",22,7548,8.9625,S,1
0,3,"male",27,251,7.55,S,1
0,3,"male",27,2670,7.225,C,1
0,3,"male",23,347072,13.9,S,2
0,3,"male",27,2673,7.2292,C,1
0,3,"male",40,347077,31.3875,S,7
1,2,"female",15,29750,39,S,3
1,2,"female",20,33112,36.75,S,1
0,1,"male",54,11778,55.4417,C,2
1,2,"female",36,230136,39,S,4
1,1,"female",64,17756,83.1583,C,3
0,2,"male",30,233478,13,S,1
0,1,"male",37,17756,83.1583,C,3
1,1,"female",18,113773,53.1,S,2
0,3,"male",27,7935,7.75,Q,1
1,1,"female",27,17558,247.5208,C,3
0,2,"male",40,239059,16,S,1
1,2,"female",21,2,21,S,2
0,3,"male",17,48873,8.05,S,3
0,3,"female",27,2343,69.55,S,11
0,2,"male",40,28221,13,S,1
0,2,"male",34,226875,26,S,2
0,1,"male",27,111163,26,S,1
1,3,"male",11.5,851,14.5,S,3
0,2,"male",61,235509,12.35,Q,1
0,2,"male",8,28220,32.5,S,3
0,3,"male",33,347465,7.8542,S,1
0,1,"male",6,16966,134.5,C,3
1,3,"female",18,347066,7.775,S,1
0,2,"male",23,31030,10.5,S,1
1,3,"female",27,65305,8.1125,S,1
1,3,"female",27,36568,15.5,Q,1
1,3,"male",0.33,347080,14.4,S,3
0,1,"male",47,17757,227.525,C,2
1,2,"female",8,26360,26,S,3
0,2,"male",25,34050,10.5,S,1
0,1,"male",27,12998,25.7417,C,1
1,3,"female",35,9232,7.75,Q,1
0,2,"male",24,28034,10.5,S,1
1,1,"female",33,17613,27.7208,C,1
0,3,"male",25,349250,7.8958,S,1
0,3,"male",32,4001,22.525,S,1
0,3,"male",27,3101308,7.05,S,1
0,2,"male",17,14879,73.5,S,1
1,2,"female",60,24065,26,S,2
1,3,"female",38,347091,7.775,S,7
0,1,"male",42,113038,42.5,S,1
1,3,"female",27,330924,7.8792,Q,1
0,1,"male",57,36928,164.8667,S,3
1,1,"female",50,113503,211.5,C,3
0,3,"male",27,32302,8.05,S,1
1,2,"female",30,2148,13.8583,C,2
0,3,"male",21,342684,8.05,S,1
1,2,"female",22,14266,10.5,S,1
0,3,"male",21,350053,7.7958,S,1
1,1,"female",53,17606,27.4458,C,1
1,3,"female",27,2661,15.2458,C,3
0,3,"male",23,350054,7.7958,S,1
1,3,"female",27,370368,7.75,Q,1
0,3,"male",40.5,6212,15.1,S,1
0,2,"male",36,242963,13,S,1
0,2,"male",14,220845,65,S,1
1,1,"female",21,113795,26.55,S,1
0,3,"male",21,3101266,6.4958,S,2
0,3,"male",27,330971,7.8792,Q,1
0,1,"male",39,17599,71.2833,C,2
0,3,"male",20,350416,7.8542,S,1
0,1,"male",64,110813,75.25,C,2
0,3,"male",20,2679,7.225,C,1
1,2,"female",18,250650,13,S,3
1,1,"female",48,17761,106.425,C,2
1,1,"female",55,112377,27.7208,C,1
1,2,"female",45,237789,30,S,3
0,1,"male",45,16966,134.5,C,3
0,3,"male",27,3470,7.8875,S,1
0,3,"male",27,6607,23.45,S,4
0,1,"male",41,17464,51.8625,S,2
1,2,"female",22,13534,21,S,1
0,2,"male",42,28220,32.5,S,3
1,2,"female",29,26707,26,S,2
1,3,"female",27,2660,14.4542,C,2
1,2,"female",0.92,34651,27.75,S,4
0,3,"male",20,3101284,7.925,S,1
0,1,"male",27,13508,136.7792,C,2
0,3,"male",24,7266,9.325,S,1
0,3,"male",32.5,345775,9.5,S,1
0,3,"male",27,42795,7.55,S,1
0,3,"male",27,3130,7.75,Q,1
0,3,"male",28,363611,8.05,S,1
1,2,"female",19,28404,13,S,1
0,3,"male",21,345501,7.775,S,1
0,3,"male",36.5,345572,17.4,S,2
0,3,"male",21,350410,7.8542,S,1
1,2,"female",29,29103,23,S,3
1,3,"female",1,350405,12.1833,S,3
0,2,"male",30,34644,12.7375,C,1
0,3,"male",27,349235,7.8958,S,1
0,1,"male",27,112051,0,S,1
0,3,"male",27,49867,7.55,S,1
1,3,"female",27,39186,8.05,S,1
0,3,"male",17,315095,8.6625,S,1
0,1,"male",46,13050,75.2417,C,1
0,3,"male",27,368573,7.75,Q,1
1,1,"female",26,13508,136.7792,C,2
1,3,"female",27,370371,15.5,Q,2
0,3,"male",27,2676,7.225,C,1
1,2,"female",20,236853,26,S,2
0,2,"male",28,14888,10.5,S,1
0,2,"male",40,2926,26,S,2
0,2,"male",30,31352,21,S,2
0,2,"male",22,14260,10.5,S,1
1,3,"female",23,315085,8.6625,S,1
1,3,"male",0.75,3101315,13.775,S,3
1,3,"female",27,364859,7.75,Q,1
1,3,"female",9,2650,15.2458,C,3
1,3,"female",2,370129,20.2125,S,3
0,3,"male",36,21175,7.25,S,1
0,3,"male",27,3101314,7.25,S,1
0,1,"male",24,21228,82.2667,S,2
0,3,"male",27,2655,7.2292,C,1
0,3,"male",27,1478,8.05,S,1
0,1,"male",27,17607,39.6,S,1
1,3,"female",30,382650,6.95,Q,1
0,3,"male",27,2652,7.2292,C,1
0,1,"male",53,33638,81.8583,S,3
0,3,"male",36,345771,9.5,S,1
0,3,"male",26,349202,7.8958,S,1
1,2,"female",1,2123,41.5792,C,4
0,3,"male",27,2662,21.6792,C,3
0,1,"male",30,113801,45.5,S,1
0,3,"male",29,347467,7.8542,S,1
0,3,"male",32,347079,7.775,S,1
0,2,"male",27,237735,15.0458,C,1
0,2,"male",43,2,21,S,2
0,3,"male",24,315092,8.6625,S,1
1,3,"female",27,383123,7.75,Q,1
1,1,"female",64,112901,26.55,S,3
0,1,"male",30,113781,151.55,S,4
1,3,"male",0.83,392091,9.35,S,2
0,1,"male",55,12749,93.5,S,3
1,3,"female",45,350026,14.1083,S,2
0,3,"male",18,315091,8.6625,S,1
0,3,"male",22,2658,7.225,C,1
0,3,"male",27,1588,7.575,S,1
1,3,"female",37,368364,7.75,Q,1
1,1,"female",55,17760,135.6333,C,1
1,3,"female",17,30631,7.7333,Q,1
0,1,"male",57,17569,146.5208,C,2
0,2,"male",19,28004,10.5,S,1
0,3,"male",27,350408,7.8542,S,1
0,2,"male",22,31029,31.5,S,3
0,3,"male",26,347075,7.775,S,1
0,3,"male",25,2654,7.2292,C,1
0,2,"male",26,244368,13,S,1
0,1,"male",33,113790,26.55,S,1
1,1,"female",39,24160,211.3375,S,1
0,3,"male",23,3101309,7.05,S,1
1,2,"female",12,230136,39,S,4
0,1,"male",46,17585,79.2,C,1
0,2,"male",29,2003,26,S,2
0,2,"male",21,236854,13,S,1
1,2,"female",48,33112,36.75,S,3
0,1,"male",39,17580,29.7,C,1
0,3,"male",27,2684,7.225,C,1
1,3,"female",19,2653,15.7417,C,3
0,3,"male",27,349229,7.8958,S,1
0,1,"male",30,110469,26,S,1
0,2,"male",32,244360,13,S,1
0,3,"male",39,2675,7.2292,C,3
0,2,"male",25,31029,31.5,S,1
0,3,"male",27,2622,7.2292,C,1
0,2,"male",18,15185,10.5,S,1
0,3,"male",32,350403,7.5792,S,1
0,3,"male",27,2343,69.55,S,11
1,1,"female",58,17755,512.3292,C,2
0,3,"male",27,851,14.5,S,3
1,3,"female",16,348125,7.65,S,1
0,2,"male",26,237670,13,S,1
1,3,"female",38,2688,7.2292,C,1
0,2,"male",24,248726,13.5,S,1
1,2,"female",31,13528,21,S,1
1,1,"female",45,17759,63.3583,C,2
0,2,"male",25,13540,10.5,S,1
0,2,"male",18,14879,73.5,S,1
0,2,"male",49,220845,65,S,4
1,3,"female",0.17,2315,20.575,S,4
0,1,"male",50,113044,26,S,1
1,1,"female",59,11769,51.4792,S,3
0,3,"male",27,1222,7.8792,S,1
0,3,"male",27,368402,7.75,Q,1
1,3,"female",30,349910,15.55,S,2
0,3,"male",14.5,2343,69.55,S,11
1,2,"female",24,2079,37.0042,C,3
1,2,"female",31,31352,21,S,1
0,3,"male",27,315083,8.6625,S,1
1,1,"female",25,11765,55.4417,C,2
0,3,"female",27,2343,69.55,S,11
0,3,"male",27,2689,14.4583,C,2
1,3,"female",22,3101295,39.6875,S,1
1,1,"female",45,112378,59.4,C,2
0,2,"male",29,2147,13.8583,C,1
0,2,"male",21,28133,11.5,S,2
1,1,"female",31,16966,134.5,C,1
0,1,"male",49,112058,0,S,1
0,2,"male",44,248746,13,S,1
1,1,"female",54,33638,81.8583,S,3
1,1,"female",45,17608,262.375,C,1
1,3,"female",22,315152,8.6625,S,3
0,2,"male",21,29107,11.5,S,1
0,1,"male",55,680,50,S,1
0,3,"male",5,347077,31.3875,S,7
0,3,"male",27,366713,7.75,Q,1
0,3,"male",26,330910,7.8792,Q,1
1,3,"female",27,364498,14.5,S,1
1,3,"female",19,376566,16.1,S,2
0,2,"male",27,2159,12.875,S,1
1,2,"female",24,220845,65,S,4
0,3,"male",24,349911,7.775,S,1
0,2,"male",57,244346,13,S,1
0,3,"male",21,364858,7.75,Q,1
1,3,"male",6,349909,21.075,S,5
0,1,"male",23,12749,93.5,S,1
1,1,"female",51,17592,39.4,S,2
1,3,"male",13,2673,20.25,S,3
0,2,"male",47,30769,10.5,S,1
0,3,"male",29,315153,22.025,S,5
1,1,"female",18,13695,60,S,2
0,3,"male",24,371109,7.25,Q,1
1,1,"female",48,13567,79.2,C,3
0,3,"male",22,347065,7.775,S,1
0,3,"male",31,21332,7.7333,Q,1
1,1,"female",30,36928,164.8667,S,1
0,2,"male",38,28664,21,S,2
1,1,"female",22,112378,59.4,C,2
0,1,"male",17,113059,47.1,S,1
0,1,"male",43,17765,27.7208,C,2
0,2,"male",20,2166,13.8625,C,1
0,2,"male",23,28666,10.5,S,2
0,1,"male",50,113503,211.5,C,3
1,3,"female",27,334915,7.7208,Q,1
1,3,"female",3,3101315,13.775,S,3
1,3,"female",27,365237,7.75,Q,1
1,1,"female",37,19928,90,Q,2
1,3,"female",28,347086,7.775,S,1
0,3,"male",27,3236,8.05,S,1
1,1,"female",39,17758,108.9,C,1
0,3,"male",38.5,3101262,7.25,S,1
0,3,"male",27,359309,8.05,S,1
0,3,"male",27,2668,22.3583,C,3
